URL,label
http://paypa1.com/login,0
http://secure-amazon-login.tk/signin,0
http://apple-id-verify.ml/account,0
http://google-security-alert.ga/verify,0
http://netfl1x-billing.cf/payment,0
http://faceb00k-login.xyz/checkpoint,0
http://twitter-verify.gq/confirm,0
http://instagram-support.ml/help,0
http://ebay-suspension.tk/appeal,0
http://wellsfarg0-alert.cf/secure,0
http://bankofamerica-secure.ga/login,0
http://chase-bank-alert.ml/verify,0
http://microsoft-alert.tk/account,0
http://dropbox-share.cf/files,0
http://linkedin-confirm.ga/login,0
http://whatsapp-update.ml/install,0
http://icloud-locked.tk/unlock,0
http://dhl-tracking-parcel.cf/track,0
http://fedex-delivery-failed.ga/reschedule,0
http://irs-tax-refund.ml/claim,0
http://covid-relief-fund.tk/apply,0
http://free-bitcoin-generator.cf/claim,0
http://prize-winner-claim.ga/redeem,0
http://account-suspended-verify.ml/restore,0
http://secure-login-update.tk/confirm,0
http://verify-your-identity-now.cf/check,0
http://unusual-activity-detected.ga/secure,0
http://support-helpdesk-ticket.ml/open,0
http://download-free-vpn.tk/install,0
http://streaming-free-movies.cf/watch,0
